id	uri
3481790	<http://wikidata.dbpedia.org/ontology/SportsLeague>
3481582	<http://wikidata.dbpedia.org/ontology/SportsManager>
3481501	<http://wikidata.dbpedia.org/ontology/SportsSeason>
3481772	<http://wikidata.dbpedia.org/ontology/SportsTeam>
3481935	<http://wikidata.dbpedia.org/ontology/SportsTeamMember>
3481500	<http://wikidata.dbpedia.org/ontology/SportsTeamSeason>
3481973	<http://wikidata.dbpedia.org/ontology/SquashPlayer>
3481752	<http://wikidata.dbpedia.org/ontology/Stadium>
3481741	<http://wikidata.dbpedia.org/ontology/Star>
3481587	<http://wikidata.dbpedia.org/ontology/Station>
3481559	<http://wikidata.dbpedia.org/ontology/Stream>
3481915	<http://wikidata.dbpedia.org/ontology/SumoWrestler>
3481831	<http://wikidata.dbpedia.org/ontology/SupremeCourtOfTheUnitedStatesCase>
3482055	<http://wikidata.dbpedia.org/ontology/Surname>
3481806	<http://wikidata.dbpedia.org/ontology/Swimmer>
3481981	<http://wikidata.dbpedia.org/ontology/TableTennisPlayer>
3481624	<http://wikidata.dbpedia.org/ontology/TelevisionEpisode>
3482147	<http://wikidata.dbpedia.org/ontology/TelevisionHost>
3481815	<http://wikidata.dbpedia.org/ontology/TelevisionSeason>
3481575	<http://wikidata.dbpedia.org/ontology/TelevisionShow>
3481816	<http://wikidata.dbpedia.org/ontology/TelevisionStation>
3482028	<http://wikidata.dbpedia.org/ontology/TennisLeague>
3481803	<http://wikidata.dbpedia.org/ontology/TennisPlayer>
3481961	<http://wikidata.dbpedia.org/ontology/TennisTournament>
3481720	<http://wikidata.dbpedia.org/ontology/Theatre>
3481864	<http://wikidata.dbpedia.org/ontology/TimePeriod>
3481715	<http://wikidata.dbpedia.org/ontology/TopicalConcept>
3481600	<http://wikidata.dbpedia.org/ontology/Tournament>
3481783	<http://wikidata.dbpedia.org/ontology/Tower>
3481637	<http://wikidata.dbpedia.org/ontology/Town>
3481688	<http://wikidata.dbpedia.org/ontology/TradeUnion>
3481811	<http://wikidata.dbpedia.org/ontology/Train>
3482093	<http://wikidata.dbpedia.org/ontology/Tunnel>
3481828	<http://wikidata.dbpedia.org/ontology/UnitOfWork>
3481697	<http://wikidata.dbpedia.org/ontology/University>
3482105	<http://wikidata.dbpedia.org/ontology/Valley>
3482120	<http://wikidata.dbpedia.org/ontology/Vein>
3481472	<http://wikidata.dbpedia.org/ontology/Venue>
3481632	<http://wikidata.dbpedia.org/ontology/VideoGame>
3482185	<http://wikidata.dbpedia.org/ontology/VideogamesLeague>
3481548	<http://wikidata.dbpedia.org/ontology/Village>
3481914	<http://wikidata.dbpedia.org/ontology/VoiceActor>
3481589	<http://wikidata.dbpedia.org/ontology/Volcano>
3482129	<http://wikidata.dbpedia.org/ontology/VolleyballCoach>
3481791	<http://wikidata.dbpedia.org/ontology/VolleyballLeague>
3481802	<http://wikidata.dbpedia.org/ontology/VolleyballPlayer>
3482122	<http://wikidata.dbpedia.org/ontology/WaterRide>
3482145	<http://wikidata.dbpedia.org/ontology/WaterwayTunnel>
3481622	<http://wikidata.dbpedia.org/ontology/Weapon>
3481844	<http://wikidata.dbpedia.org/ontology/Website>
3482123	<http://wikidata.dbpedia.org/ontology/WineRegion>
